,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,12-Sep-05,9:05PM ET,boxscore,L,,0-1,@,Atlanta Falcons,10,14,18,301,250,51,3,18,319,119,200,3,-14.74,12.3,-1.5
2,Sun,18-Sep-05,1:03PM ET,boxscore,W,,01-Jan,,San Francisco 49ers,42,3,30,583,443,140,1,8,142,84,58,3,31.62,24.25,-12.65
3,Sun,25-Sep-05,1:03PM ET,boxscore,W,,01-Feb,,Oakland Raiders,23,20,26,448,365,83,2,18,365,344,21,,8.54,-2.84,-4.31
4,Sun,02-Oct-05,4:15PM ET,boxscore,W,,01-Mar,@,Kansas City Chiefs,37,31,25,396,368,28,2,19,353,209,144,4,10.01,3.72,-9.11
5,Sun,09-Oct-05,4:15PM ET,boxscore,L,,02-Mar,@,Dallas Cowboys,10,33,6,129,110,19,,28,456,289,167,1,-16.78,-4.18,-3.8
7,Sun,23-Oct-05,1:02PM ET,boxscore,W,,02-Apr,,San Diego Chargers,20,17,22,286,262,24,2,15,291,270,21,3,-12.94,13.4,5.16
8,Sun,30-Oct-05,4:15PM ET,boxscore,L,,03-Apr,@,Denver Broncos,21,49,12,351,272,79,2,28,564,309,255,,-4.28,-30.49,9.13
9,Sun,06-Nov-05,8:37PM ET,boxscore,L,,04-Apr,@,Washington Redskins,10,17,17,336,291,45,1,17,293,215,78,1,-1.72,0.8,-1.77
10,Mon,14-Nov-05,9:08PM ET,boxscore,L,,05-Apr,,Dallas Cowboys,20,21,21,359,178,181,1,13,241,183,58,1,-4.7,6.59,-4.86
11,Sun,20-Nov-05,1:04PM ET,boxscore,L,,06-Apr,@,New York Giants,17,27,20,404,298,106,1,17,315,200,115,,3.99,-7.68,-6.67
12,Sun,27-Nov-05,4:16PM ET,boxscore,W,,06-May,,Green Bay Packers,19,14,15,264,88,176,1,18,292,164,128,5,-11.95,4.58,12.77
13,Mon,05-Dec-05,9:07PM ET,boxscore,L,,07-May,,Seattle Seahawks,0,42,11,190,129,61,6,14,194,98,96,,-56,7.09,10.3
14,Sun,11-Dec-05,4:05PM ET,boxscore,L,OT,08-May,,New York Giants,23,26,17,337,162,175,1,28,437,299,138,3,-2.05,-7.14,2.6
15,Sun,18-Dec-05,1:02PM ET,boxscore,W,,08-Jun,@,St. Louis Rams,17,16,13,201,76,125,4,16,305,127,178,1,-18.95,18.04,1.99
16,Sat,24-Dec-05,4:05PM ET,boxscore,L,,09-Jun,@,Arizona Cardinals,21,27,11,189,146,43,1,19,360,285,75,1,-19.35,0.75,11.88
17,Sun,01-Jan-06,4:16PM ET,boxscore,L,,10-Jun,,Washington Redskins,20,31,18,335,239,96,6,14,279,128,151,1,-20.16,7.87,0.11
